"word","similarity to model[[c(""woman"", ""girl"", ""lady"", ""she"", ""her"", ""hers"")]]"
"Pallavi",0.211994136185285
"Trueba",0.211931481506099
"Nikhil",0.211809853211626
"loved",0.211809620904543
"Nandana",0.211778587705211
"marrying",0.211694408462966
"unwed",0.211627758688359
"soulmate,",0.211450205595913
"homeless",0.211341252785102
"bed",0.211290031401787
"sisters-in-law",0.211242787047938
"Magdalene,",0.211094607471385
"ex-husband",0.211015671892642
"Verónica",0.210992367273691
"actress,",0.210935088409983
"25-year-old",0.21083407174353
"barefoot,",0.210795802413116
"Lalita",0.21076258659616
"kissed",0.210726383815582
"Balamani",0.210682934739768
"sophisticated,",0.210677329664472
"jilted",0.210511701718997
"Karan",0.210382983703675
"Gelsomina",0.210211178229165
"suggestively",0.210208118104622
"Shalini's",0.210147440345784
"Julien.",0.210103144137085
"Sarita",0.210072462010382
"stepmother.",0.210039574220316
"friend",0.209976377340639
"Claire",0.20995880352847
"Mihir",0.209899477039589
"""Angel""",0.209743803835569
"Louise",0.209662904523892
"Mi-heun",0.209631676084093
"babysitting",0.209573820741581
"love,",0.209393458128561
"brat,",0.209286783217455
"loves",0.209234559147214
"tomboy",0.209221404830804
"Neeraj",0.209196137170486
"Hitty",0.209117577015427
"policeman",0.208867171740989
"Hanka",0.208671027147526
"bombshell",0.208608537868677
"marriage",0.208454965309108
"Sapna",0.208424588784965
"wardrobe",0.208405355772272
"Rasmina",0.208400059785041
"husband-to-be,",0.208357470597289
"aunt’s",0.208190429064127
"Nisha",0.208159614905877
"Kochu",0.208105743816614
"""beautiful",0.207858053646928
"boys;",0.207803940885293
"motherly",0.207715429864702
"disco,",0.207663493414277
"birthmark",0.207656832622413
"Sudhir,",0.207642909942689
"“his",0.207603438473056
"child's",0.207366117357869
"Sun-young",0.20717517306074
"abortion.",0.20706816396525
"Marni's",0.207054264756559
"tales.",0.206998674685051
"Sofia's",0.206963456476994
"abortionist.",0.206926935545699
"Saritaji",0.206832568970369
"Rawson",0.206819892186403
"mouth-to-mouth",0.206785141992288
"housewife",0.206747629544483
"peasant",0.206652706487354
"Élise",0.206574743038705
"Sarbani",0.206549773609776
"Amina,",0.206473902024072
"cakes.",0.206464926664298
"pretends",0.206417471683285
"Hansi",0.20637951163075
"Martha",0.206315959164179
"Malli,",0.206299408895413
"independent,",0.206298286632323
"saleswoman",0.206298022341713
"older",0.206288550703182
"mother:",0.206246877436154
"Deepali",0.206244851896689
"met",0.206182484834973
"Fanny,",0.206119450491962
"Violette",0.206118924319614
"adores,",0.205862567945616
"Gautham's",0.205746388868892
"Sanjukta",0.205648979162384
"puppy.",0.205537930670271
"Sonam",0.205502736411127
"Cuicui",0.205406317245797
"Sakhu",0.205405781012761
"extrovert",0.20534984247853
"madly",0.205328094741716
"grown-up,",0.205324221473037
"Veena's",0.20526269783474
"Edmond,",0.204801340586376
"Vasumathi",0.2047726428298
"Anne’s",0.204734121231792
"ailments.",0.204710478263116
"woman,""",0.204664991174688
